# be wary of 's etc, must show the  that tokenizer would use
# there are no items in this file, only base



table: ~roles(^actor ^title)
if (! ^pos(NOUN ^title lowercaseexist))
{
	createfact(^title star ^actor)
	if (! ^pos(NOUN ^title lowercaseexist))
	{
		^addproperty(^title NOUN_TITLE)
Dick_Powell Footlight_Parade
Marie_Windsor Force_Of_Evil
Mary_Breckinridge The_Forgotten_Frontier
Mae_Clarke Frankenstein
Alice_Hollister From_The_Manger_To_The_Cross
Benoit_Poelvoorde Man_Bites_Dog
Stockard_Channing Six_Degrees_Of_Separation
Donald_Sutherland Six_Degrees_Of_Separation
Lee_Strasberg The_Godfather_Part_II
Tom_Murray_Actor The_Gold_Rush
Broncho_Billy_Anderson The_Great_Train_Robbery
John_Dall Gun_Crazy
Ray_Collins_Actor The_Heiress
Frank_Welker Goof_Troop
Rosalind_Russell His_Girl_Friday
William_Talman_Actor The_Hitch_Hiker
Kevin_Sorbo Andromeda
James_Gandolfini The_Mexican
Eric_Thompson The_Magic_Roundabout
Nigel_Planer The_Magic_Roundabout
Gene_Hackman Hoosiers
Sheb_Wooley Hoosiers
Diana_Rigg The_Hospital
Larry_Gates Invasion_Of_The_Body_Snatchers
Tracy_Grandstaff Daria
Wayne_Allwine Disneys_House_Of_Mouse
Gale_Page Knute_Rockne_All_American
Henry_Fonda The_Lady_Eve
J_Pat_O_Malley Lassie_Come_Home
Peter_Bogdanovich The_Last_Picture_Show
Dana_Elcar The_Learning_Tree
Louis_Jourdan Letter_From_An_Unknown_Woman
Lynne_Overman Little_Miss_Marker
Frank_Hardy Louisiana_Story
Gene_Reynolds Love_Finds_Andy_Hardy
Myrna_Loy Love_Me_Tonight
Marjorie_Main Meet_Me_In_St_Louis
Betty_Hutton The_Miracle_Of_Morgans_Creek
Walter_Brennan My_Darling_Clementine
Carole_Lombard My_Man_Godfrey
Luke_Perry Jeremiah
Malcolm_Jamal_Warner Jeremiah
Sean_Astin Jeremiah
Peter_Stebbings Jeremiah
Ingrid_Kavelaars Jeremiah
Byron_Lawson Jeremiah
Kim_Hawthorne Jeremiah
Joan_Rivers Spaceballs
Robert_Ryan The_Naked_Spur
Lily_Tomlin Nashville
Mary_Louise_Weller National_Lampoons_Animal_House
Harpo_Marx A_Night_At_The_Opera
Lillian_Gish The_Night_Of_The_Hunter
Abbey_Lincoln Nothing_But_A_Man
Kirk_Douglas Out_Of_The_Past
Dana_Andrews The_Ox_Bow_Incident
Sondra_Locke The_Outlaw_Josey_Wales
Uma_Thurman Dangerous_Liaisons
Linda_Harrison Planet_Of_The_Apes
Mel_Blanc Who_Framed_Roger_Rabbit
Philip_Morrison Powers_Of_Ten
William_Mc_Kinley President_Mc_Kinley_Inauguration_Footage
Christopher_Hewett The_Producers
Mae_Clarke The_Public_Enemy
Ann_Doran Rebel_Without_A_Cause
Montgomery_Clift Red_River
Edgar_Buchanan Ride_The_High_Country
Eddie_Albert Roman_Holiday
Rosaura_Revueltas Salt_Of_The_Earth
Karen_Morley Scarface
Natalie_Wood The_Searchers
Henry_Travers Shadow_Of_A_Doubt
James_Best Shock_Corridor
Jack_Palance Shane
Frank_Morgan The_Shop_Around_The_Corner
J_Farrell_Mac_Donald Sky_High
Joe_E_Brown_Comedian Some_Like_It_Hot
Erich_Von_Stroheim Sunset_Boulevard
Tony_Curtis Sweet_Smell_Of_Success
Maureen_O_Sullivan The_Tall_T
Anne_Baxter The_Ten_Commandments
Anna_May_Wong The_Thief_Of_Bagdad
James_Arness The_Thing_From_Another_World
Sig_Ruman To_Be_Or_Not_To_Be
Dabney_Coleman Tootsie
Edward_Everett_Horton Trouble_In_Paradise
Millard_Mitchell Twelve_O_Clock_High
Dorothy_Provine Its_A_Mad_Mad_Mad_Mad_World
Frank_Thomas_Animator Saludos_Amigos
